SBJ 2602,1040575,9
HIG 383,161031,14
SAF 9377,490162,9
PAA 6246,21094,7
SBA 9284,399810,9
SBJ 5342,1166270,9
AQJ 561,716632,1
SAI 7788,958015,9
GAA 6289,21364,0
SCE 8589,942751,9
EMC 0848,614743,2
SAN 3426,437232,9
STP 2013,387438,9
SBL 2421,1038421,9
LDA 4956,115280,3
SAW 5369,453650,9
LDB 2068,78940,3
SAJ 4279,396030,9
AAG 7241,251167,1
SAP 9903,273688,9
SAA 2788,998306,9
SAN 3516,387136,9
QAB 1251,4002488,4
SFY 989,1166141,9
SCN 4629,482258,9
SCL 6683,1162475,9
HAB 8426,109839,14
SAJ 9793,488865,9
SBL 4336,476359,9
SBH 8867,389094,9
SBJ 1526,1158769,9
B555430,502080,8
LDA 8031,98820,3
PAA 5554,102874,7
AAK 8777,728096,1
LEA 3482,93840,3
ASC 650,743252,1
SBH 3561,989377,9
AAP 6231,304232,1
KMG135,35091,16
SBF 4205,1071045,9
SCH 6219,1026352,9
B508673,392685,8
SBL 7757,1070414,9
SEM 0,1102246,9
LCA 6112,63860,3
SAA 3745,999492,9
SBI 7559,1153251,9
AAE 1255,322679,1
ARL-132,725047,1
SBY 4953,928746,9
SAK 8643,319560,9
BTP1483,424017,8
IAB 7740,344023,10
LAA 2939,102340,3
AAF 4499,212565,1
SCR 1235,1015519,9
SCN 4766,1180223,9
SAR 8257,397553,9
SBI 8322,1154400,9
HAH 502,103669,14
SBD 1911,940417,9
SBW 3676,418907,9
B150107,481653,8
SBG 6563,514738,9
RAD 5452,78097,17
ATM 3522,175015,1
SBC 5505,1008306,9
AAB 6171,267312,1
B503364,355535,8
SBR 2772,495424,9
AAF 5582,230318,1
LCC 929,88480,3
AAG 2656,331716,1
BAA2323,482586,8
AAE 8365,719743,1
IAB 8137,343741,10
SAH 1472,497729,9
CAA 2002,1059133,13
SBR 2477,1069839,9
QBI 5045,1816901,4
LEA 1205,84700,3
B559178,517645,8
SAP 2415,450704,9
AAD 4162,95560,1
SCF 6330,1179139,9
SBA 8460,403920,9
QAE 4997,3084601,4
SAN 1526,461747,9
SBR 5046,1102176,9
SAV 3122,468700,9
SBA 8266,915138,9
OAB 3168,42537,6
SBI 8373,1154467,9
HAC 1116,148470,14
HAB 3406,148542,14
SBG 1488,1093549,9
MAC2611,44465,15
SBK 2766,1180619,9
SBP 8172,1102158,9
B130759,431679,8
SCI 2457,455947,9
FRD 5674,9806,11
SBG 5280,1102967,9
SBA 1280,409313,9
HAC 1382,140829,14
SGD 857,1175068,9
CCA 9734,1937,13
SAB 6479,936121,9
SBB 5591,446432,9
AAJ 6813,305502,1
AAG 1376,278242,1
HAA 6509,148578,14
QAD 6095,2505201,4
AAB 7318,266875,1
SAC 8756,950166,9
SBI 1462,1139411,9
SAW 2363,419325,9
AAC 7280,65317,1
B127707,462008,8
AAC 7117,270236,1
DCC 563,51658,18
SBD 8762,1031090,9
SBG 6136,1104739,9
AAD 6722,211594,1
DAL 660,22216,18
SAE 5823,401570,9
SAZ 7772,429789,9
B134003,507190,8
HAA 546,150379,14
SAK 1565,477472,9
KDA351,36211,16
SAD 8822,954981,9
B139004,469752,8
SFO 696,1057006,9
ATM 2646,271205,1
SAE 6781,444348,9
SAB 1812,929709,9
SAX 174,886232,9
SAJ 4244,499275,9
FRB 4504,2633,11
SAQ 6332,438999,9
NTP 2541,10398,5
SBD 2050,1017599,9
SAC 6944,947133,9
SGC 485,1172554,9
SDA 951,1052439,9
SBR 5920,1171463,9
SAC 8193,949547,9
AAC 2463,400276,1
EAC 574,51440,2
B134441,511126,8
SAI 8568,339085,9
SAJ 5828,403066,9
SAR 7107,512898,9
SAN 9211,902968,9
SDA 781,1052186,9
B530927,436502,8
PTP 0442,473,7
SAC 7286,947543,9
B529705,433136,8
SGE 58,1175439,9
SBJ 3188,1162074,9
SGF 170,1177325,9
SAO 1742,482309,9
SAX 1468,482837,9
AAF 8839,734473,1
SAO 5074,362523,9
MAC7727,113310,15
AAD 8009,167968,1
OAB 1113,34130,6
B552052,488697,8
SAE 4787,991580,9
SBK 4950,1186049,9
SBR 9431,435309,9
SBH 4589,1124674,9
AQZ 079,332142,1
LDC 415,90300,3
SAR 5037,515752,9
IAB 352,350040,10
DAM 364,28937,18
SAB 4122,933421,9
NTP 2691,38657,5
SKV 105,1145211,9
ARX 356,736626,1
AAX 944,268810,1
QAB 3349,2216901,4
SAB 5017,934407,9
SAW 4912,385034,9
SBG 4711,432729,9
SBY 723,1006819,9
SBF 8612,1086396,9
SAP 1779,479746,9
SAX 4464,965323,9
LFA 3334,103900,3
SBK 4883,1185904,9
SBD 9887,1033688,9
SBJ 4114,1163978,9
AAQ 4362,139513,1
SEY 138,1120006,9
SAI 9789,461707,9
GAA 3074,4003,0
B539152,455535,8
MAC9802,116416,15
IAA 3806,346379,10
B130623,477585,8
SAY 5515,969055,9
SAA 9729,987033,9
SEE 218,1089882,9
SCZ 179,1049935,9
SAU 1146,326627,9
STU 1738,477207,9
SBZ 9663,1095947,9
SAN 45,891649,9
SIS 752,1130577,9
SAU 2271,989357,9
APW 091,369605,1
SAA 5827,924711,9
AAB 1635,59075,1
JYA 675,129721,12
AAG 4009,739519,1
AAF 9744,734077,1
SBF 7118,1080923,9
B561378,458370,8
SHA 886,1183765,9
HAD 275,141357,14
SAO 7052,515745,9
B548901,478933,8
SBE 9762,1014343,9
AAE 3250,175451,1
KCF021,44376,16
SAV 1396,499318,9
AAE 2180,132465,1
CBB 2789,2338,13
SBI 5170,1094659,9
SAR 4536,308325,9
MAD2243,99217,15
SAZ 8688,476767,9
FRA 4759,4930,11
SAS 5512,903959,9
JFB 3500,102662,12
BEA5714,454234,8
RAA4700,77953,17
SAN 8874,989374,9
AAA 7162,248067,1
SCJ 4172,488935,9
SBG 1409,1093334,9
B531211,437075,8
SEO 779,1107007,9
LGF 399,69960,3
SCA 8961,505885,9
B805561,520056,8
ASQ 974,267548,1
SBR 4345,488610,9
FRA 9543,7785,11
SBH 9041,1136023,9
SBG 8690,1093392,9
SFA 253,1122976,9
LDB 4259,97320,3
SBI 9766,1157281,9
RAQ469,108481,17
SAC 8504,949886,9
SBE 3947,1042291,9
SBJ 5815,1167272,9
SAY 3589,968267,9
SAK 8217,272523,9
PAA 6465,18743,7
AAF 6233,276383,1
SAE 1086,479880,9
SBX 2074,432575,9
SAV 6323,440341,9
SAE 6772,425537,9
SAN 8520,991202,9
ARY 200,737802,1
MAB501,98592,15
AAG 1443,732978,1
JYO 2468,100687,12
SBW 8366,1164831,9
GBF 534,28296,0
B802501,460278,8
RAU750,110176,17
SAF 2915,431630,9
CCA 4330,106666,13
SAD 7718,511367,9
SAE 5597,273138,9
SDI 2818,1143146,9
MAC1032,119194,15
SAN 7099,404900,9
SCO 6771,1106798,9
ETU 0193,560287,2
SBH 4975,1125690,9
SFK 579,975250,9
SAS 8391,415686,9
SBH 1966,1117030,9
CCB 2910,4636,13
SAA 7375,926183,9
SAA 5426,924259,9
SBF 5031,1073769,9
SAA 8385,921691,9
SAQ 6611,404395,9
SCB 8607,1183559,9
SAV 5495,365485,9
AAF 2673,365597,1
HAJ 313,107095,14
RAA4368,102068,17
BEA5625,519153,8
QAA 7384,4004390,4
SBG 3948,1099904,9
HAA 6819,149007,14
HAC 605,115936,14
SBK 2347,1106671,9
GAA 5053,19025,0
SBB 5714,917585,9
JYA 412,133719,12
B556691,506030,8
HAB 1789,115383,14
B128527,466022,8
B559293,518025,8
SBK 1737,1178024,9
AAA 6739,277095,1
AAD 3564,168893,1
AAB-7891,271404,1
AAB 8275,304732,1
SAY 3449,476294,9
SFT 339,1154466,9
OAA 4946,25428,6
ATM 5036,746784,1
B804397,512990,8
B302772,154021,8
JYA 119,132408,12
SCM 4224,1112525,9
SBJ 7181,1170059,9
SAE 2070,405559,9
B549027,478949,8
B110240,395225,8
SBI 7825,1153124,9
SBB 6751,366371,9
AAV 3897,241657,1
SBJ 5197,1165988,9
B551957,488425,8
LDB 4146,105210,3
SFL 735,1140242,9
SBG 2916,1097405,9
PSA 1490,107165,7
SBD 6603,1026528,9
SCL 4138,967738,9
SAZ 3539,498071,9
SAS 3793,502179,9
SBE 6589,487744,9
B541311,252554,8
NAE 418,103968,5
SDA 820,1052254,9
CCV 000,1049931,13
B541960,462033,8
ARZ 895,741724,1
OAA 5450,47367,6
JYO 0225,117176,12
ATH-921,262699,1
LCA 3038,102020,3
SAK 6127,490950,9
SAN 1852,464945,9
ARS 606,351794,1
SAK 2034,328594,9
SAC 7190,947409,9
LMA 1641,44090,3
SBC 7328,1010933,9
SAR 6371,477915,9
SBA 7817,249036,9
ARZ 933,312492,1
KNE 547,32026,16
SAK 9572,450119,9
SDX 447,1081884,9
AUO 395,730640,1
GBA 2401,19354,0
SLP 192,1111550,9
ETU 5063,618288,2
SAZ 2301,971067,9
AAA 9252,250255,1
AAC 6740,319511,1
AAA 3558,343242,1
SKM 291,982181,9
SBD 6795,948828,9
AAG 4773,288241,1
SBL 9353,1042100,9
SBG 2631,1096297,9
AAG 1211,289496,1
SBD 4946,1022790,9
SAG 3089,440160,9
SBG 9590,1113173,9
SAA 2627,998081,9
B528913,431297,8
SBJ 8424,1172759,9
B563023,391061,8
SCH 3904,1185885,9
AAF 5739,347569,1
B534358,443801,8
CCA 9975,2713,13
B150451,471854,8
SCH 6034,1132136,9
SAR 8025,490376,9
AAG 3091,735385,1
SCH 1409,387902,9
SBA 2875,226775,9
SAO 4559,505998,9
SAS 4795,296307,9
AAA 3340,317446,1
LEA 4327,99620,3
ARY 615,738013,1
SCL 8522,474782,9
SBC 3512,458275,9
SAD 9598,907516,9
SAY 5156,300373,9
KMB784,34577,16
JFB 2917,125023,12
QAA 1295,4002345,4
SBA 7621,947198,9
B534647,446531,8
B557191,507810,8
SBF 8239,1085181,9
AAE 2965,267952,1
ATM 7495,140112,1
AAB 9010,165878,1
IAB 2535,344195,10
SAG 1308,991622,9
SBH 6088,1128753,9
RAT776,111812,17
STC 2936,1137092,9
ARL 268,725304,1
KDJ345,40424,16
RAA7676,100556,17
LHC 260,38510,3
SBA 7021,913880,9
SEC 328,1088752,9
HAA 7007,148153,14
SBC 3205,1005030,9
SAA 1193,996466,9
SBD 4432,1021677,9
SBY 2336,1131636,9
SJQ 493,1182876,9
SBC 3262,1005102,9
LDA 5024,115930,3
PAA 9932,227,7
NCE 4618,106228,5
AAG 6993,746536,1
HAQ 093,147457,14
JFB 1045,119973,12
SEK 780,1100195,9
B110804,395660,8
AAA 9888,325579,1
SAW 6072,472029,9
AAB 7135,370544,1
AAB 4190,266839,1
LCA 1485,92420,3
AAX 1187,742783,1
KDK161,38904,16
SAP 1263,374450,9
CCA 9883,1045051,13
AAC-2002,149741,1
SAE 2555,322412,9
B124022,398761,8
LAA 3195,112390,3
B134096,509029,8
EMB 4968,901154195,2
B305362,411591,8
RAK051,93074,17
SAS 5375,436957,9
AAC 7958,341351,1
SDX 353,1081758,9
LCG 211,109320,3
LJC 452,31190,3
HAE 361,146383,14
SBF 6265,1077659,9
AAB 3632,345442,1
SBG 3030,1097709,9
AAD-3910,342077,1
SGK 379,1186610,9
SAU 8486,960366,9
BBU374,513447,8
